run_name,source,target,seed,epoch,total,cls,qdom,qcls,div,sda,rho,grl,lr,val_loss,val_accuracy,val_macro_f1
AT1_to_DK1_seed2,AT1,DK1,2,24,0.0468,0.1084,3.3212,3.8368,-8.4028,1.1833,1.0,1.0,0.000864,0.1393,0.96,0.8331
AT1_to_DK1_seed2,AT1,DK1,2,25,0.4482,0.1196,3.549,3.9254,-8.3524,1.2066,1.0,1.0,0.000854,0.1664,0.95,0.7959
AT1_to_DK1_seed2,AT1,DK1,2,26,1.2162,0.1286,3.771,4.3989,-8.3632,1.2808,1.0,1.0,0.000842,0.2316,0.93,0.7327
AT1_to_DK1_seed2,AT1,DK1,2,27,-0.4507,0.109,3.2686,3.4456,-8.4276,1.1536,1.0,1.0,0.000831,0.2174,0.93,0.7642
AT1_to_DK1_seed2,AT1,DK1,2,28,0.6551,0.1174,3.6747,3.9798,-8.4041,1.2874,1.0,1.0,0.000819,0.2667,0.91,0.778
AT1_to_DK1_seed2,AT1,DK1,2,29,-0.3936,0.1005,3.2116,3.4095,-8.3858,1.2706,1.0,1.0,0.000806,0.122,0.96,0.8597
AT1_to_DK1_seed2,AT1,DK1,2,30,-0.5589,0.0959,3.1612,3.3483,-8.3808,1.2165,1.0,1.0,0.000794,0.1537,0.95,0.8386
AT1_to_DK1_seed2,AT1,DK1,2,31,-0.2538,0.1008,3.1984,3.6056,-8.4022,1.2436,1.0,1.0,0.000781,0.1474,0.95,0.8395
AT1_to_DK1_seed2,AT1,DK1,2,32,-0.2282,0.0923,3.1671,3.625,-8.3743,1.2616,1.0,1.0,0.000768,0.1541,0.95,0.8137
AT1_to_DK1_seed2,AT1,DK1,2,33,-0.3742,0.1,3.1628,3.5231,-8.4171,1.257,1.0,1.0,0.000755,0.1367,0.96,0.8431
AT1_to_DK1_seed2,AT1,DK1,2,34,-0.4956,0.0992,3.2611,3.3114,-8.4209,1.2535,1.0,1.0,0.000741,0.0999,0.97,0.8757
AT1_to_DK1_seed2,AT1,DK1,2,35,-0.0227,0.0936,3.3919,3.6046,-8.3894,1.2766,1.0,1.0,0.000727,0.136,0.96,0.8115
AT1_to_DK1_seed2,AT1,DK1,2,36,0.3804,0.0959,3.6959,3.6951,-8.4102,1.3036,1.0,1.0,0.000713,0.0988,0.97,0.8677
AT1_to_DK1_seed2,AT1,DK1,2,37,-0.5106,0.0805,3.2321,3.3301,-8.3843,1.2309,1.0,1.0,0.000699,0.0955,0.97,0.8628
AT1_to_DK1_seed2,AT1,DK1,2,38,-0.4376,0.0788,3.3319,3.2633,-8.4106,1.2991,1.0,1.0,0.000684,0.1185,0.97,0.8384
AT1_to_DK1_seed2,AT1,DK1,2,39,-0.6971,0.0764,3.0595,3.3061,-8.4305,1.2914,1.0,1.0,0.000669,0.1359,0.96,0.8438
AT1_to_DK1_seed2,AT1,DK1,2,40,-0.3335,0.0862,3.2209,3.4303,-8.3634,1.2924,1.0,1.0,0.000655,0.1269,0.96,0.8311
AT1_to_DK1_seed2,AT1,DK1,2,41,-0.5129,0.081,3.1,3.3937,-8.3746,1.287,1.0,1.0,0.000639,0.1188,0.97,0.8492
AT1_to_DK1_seed2,AT1,DK1,2,42,-0.393,0.0788,3.1862,3.448,-8.4054,1.2993,1.0,1.0,0.000624,0.137,0.96,0.8147
AT1_to_DK1_seed2,AT1,DK1,2,43,-0.674,0.0763,3.1531,3.2286,-8.4139,1.2819,1.0,1.0,0.000609,0.1187,0.96,0.8509
AT1_to_DK1_seed2,AT1,DK1,2,44,-0.7267,0.0712,3.0694,3.223,-8.3906,1.3003,1.0,1.0,0.000594,0.1286,0.96,0.8674
AT1_to_DK1_seed2,AT1,DK1,2,45,-0.6899,0.0694,3.1443,3.1864,-8.3769,1.2869,1.0,1.0,0.000578,0.0844,0.97,0.8689
AT1_to_DK1_seed2,AT1,DK1,2,46,-0.8704,0.0681,3.0918,3.1307,-8.4046,1.2436,1.0,1.0,0.000563,0.1334,0.96,0.8397
AT1_to_DK1_seed2,AT1,DK1,2,47,-0.3501,0.074,3.3245,3.3637,-8.3891,1.2768,1.0,1.0,0.000547,0.1222,0.96,0.8538
AT1_to_DK1_seed2,AT1,DK1,2,48,-0.5193,0.0745,3.2088,3.3487,-8.4087,1.2575,1.0,1.0,0.000531,0.1084,0.97,0.8633
AT1_to_DK1_seed2,AT1,DK1,2,49,-0.8618,0.0699,3.1399,3.0323,-8.3648,1.2607,1.0,1.0,0.000516,0.1013,0.97,0.8573
AT1_to_DK1_seed2,AT1,DK1,2,50,-0.7977,0.0681,3.0656,3.2008,-8.4224,1.2901,1.0,1.0,0.0005,0.1173,0.97,0.8403
AT1_to_DK1_seed2,AT1,DK1,2,51,-1.0629,0.0686,2.9329,3.0924,-8.3969,1.2402,1.0,1.0,0.000484,0.1131,0.97,0.8569
AT1_to_DK1_seed2,AT1,DK1,2,52,-0.9247,0.0657,3.0519,3.1554,-8.4001,1.2023,1.0,1.0,0.000469,0.1174,0.96,0.8427
AT1_to_DK1_seed2,AT1,DK1,2,53,-0.9063,0.0616,3.049,3.1775,-8.3743,1.1799,1.0,1.0,0.000453,0.1081,0.97,0.8669
AT1_to_DK1_seed2,AT1,DK1,2,54,-0.5466,0.0607,3.1262,3.4295,-8.3997,1.2366,1.0,1.0,0.000437,0.0987,0.97,0.836
AT1_to_DK1_seed2,AT1,DK1,2,55,-1.094,0.0581,2.9883,3.0746,-8.3831,1.168,1.0,1.0,0.000422,0.1091,0.97,0.8371
AT1_to_DK1_seed2,AT1,DK1,2,56,-0.7256,0.0538,3.1445,3.2696,-8.3723,1.1788,1.0,1.0,0.000406,0.1164,0.97,0.8674
AT1_to_DK1_seed2,AT1,DK1,2,57,-1.0375,0.0519,3.0295,3.0787,-8.3878,1.1901,1.0,1.0,0.000391,0.1141,0.97,0.8637
AT1_to_DK1_seed2,AT1,DK1,2,58,-0.703,0.0596,3.2365,3.1782,-8.3942,1.2169,1.0,1.0,0.000376,0.1089,0.97,0.8615
AT1_to_DK1_seed2,AT1,DK1,2,59,-0.834,0.0554,3.1767,3.0409,-8.3381,1.231,1.0,1.0,0.000361,0.1408,0.96,0.8296
AT1_to_DK1_seed2,AT1,DK1,2,60,-0.9363,0.0512,3.202,3.0125,-8.4025,1.2006,1.0,1.0,0.000345,0.1106,0.97,0.8476
AT1_to_DK1_seed2,AT1,DK1,2,61,-0.6487,0.0519,3.2496,3.2011,-8.3995,1.2481,1.0,1.0,0.000331,0.122,0.97,0.8527
AT1_to_DK1_seed2,AT1,DK1,2,62,-0.7671,0.0477,3.2107,3.1393,-8.4069,1.2421,1.0,1.0,0.000316,0.121,0.97,0.8748
