run_name,source,target,seed,true_class,pred_class,count
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,meadow,602
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,spring_barley,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,spring_oat,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,winter_barley,2
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,winter_rapeseed,28
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,winter_rye,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,winter_triticale,3
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,winter_wheat,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,corn,7
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,meadow,610
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,spring_barley,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,spring_oat,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,winter_barley,24
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,winter_rye,50
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,winter_triticale,65
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,winter_wheat,25
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,corn,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,meadow,57
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,spring_barley,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,spring_oat,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,winter_barley,4
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,winter_rye,4
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,winter_triticale,13
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,winter_wheat,9
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,corn,215
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,horsebeans,6
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,meadow,975
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,spring_barley,6
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,spring_oat,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,winter_barley,38
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,winter_rapeseed,1
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,winter_rye,32
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,winter_triticale,108
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,winter_wheat,534
AT1_to_FR1_seed1,AT1,FR1,1,corn,corn,1223
AT1_to_FR1_seed1,AT1,FR1,1,corn,horsebeans,68
AT1_to_FR1_seed1,AT1,FR1,1,corn,meadow,7
AT1_to_FR1_seed1,AT1,FR1,1,corn,spring_barley,2
AT1_to_FR1_seed1,AT1,FR1,1,corn,spring_oat,3
AT1_to_FR1_seed1,AT1,FR1,1,corn,winter_barley,0
AT1_to_FR1_seed1,AT1,FR1,1,corn,winter_rapeseed,0
AT1_to_FR1_seed1,AT1,FR1,1,corn,winter_rye,3
AT1_to_FR1_seed1,AT1,FR1,1,corn,winter_triticale,0
AT1_to_FR1_seed1,AT1,FR1,1,corn,winter_wheat,5
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,corn,33
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,horsebeans,14
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,meadow,51
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,spring_barley,1
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,spring_oat,15
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,winter_barley,3
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,winter_rapeseed,0
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,winter_rye,6
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,winter_triticale,1
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,winter_wheat,26
AT1_to_FR1_seed1,AT1,FR1,1,meadow,corn,108
AT1_to_FR1_seed1,AT1,FR1,1,meadow,horsebeans,58
AT1_to_FR1_seed1,AT1,FR1,1,meadow,meadow,2712
AT1_to_FR1_seed1,AT1,FR1,1,meadow,spring_barley,7
AT1_to_FR1_seed1,AT1,FR1,1,meadow,spring_oat,42
AT1_to_FR1_seed1,AT1,FR1,1,meadow,winter_barley,11
AT1_to_FR1_seed1,AT1,FR1,1,meadow,winter_rapeseed,0
AT1_to_FR1_seed1,AT1,FR1,1,meadow,winter_rye,25
AT1_to_FR1_seed1,AT1,FR1,1,meadow,winter_triticale,9
AT1_to_FR1_seed1,AT1,FR1,1,meadow,winter_wheat,49
